,Format,Game Location,Line,Length,Location,Speed,Bowling Style,Bounce,Out
0,Test,Hyderabad (Deccan),Wide Outside Off,Short,Point,70,Right arm Offbreak,Normal,0
1,Test,Hyderabad (Deccan),Middle Stump,Full,Midwicket,141,Right-arm fast,Normal,0
2,Test,Hyderabad (Deccan),Middle Stump,Full,Long-off,144,Right-arm fast,Normal,0
3,Test,Hyderabad (Deccan),Offside,Good,Wicketkeeper,147,Right-arm fast,Normal,0
4,Test,Hyderabad (Deccan),Off Stump,Back of a Length,Covers,148,Right-arm fast,Low,0
5,Test,Hyderabad (Deccan),Offside,Full,Offside,92,Right arm Offbreak,Normal,0
6,Test,Hyderabad (Deccan),Leg Stump,Good,Deep Square Leg,70,Right arm Offbreak,Normal,0
7,Test,Hyderabad (Deccan),Off Stump,Full,Midwicket,86,Right arm Offbreak,Normal,0
8,Test,Hyderabad (Deccan),Off Stump,Short,Square Leg,82,Right arm Offbreak,Normal,0
9,Test,Hyderabad (Deccan),Offside,Full,Close,71,Right arm Offbreak,Normal,0
10,Test,Hyderabad (Deccan),Off Stump,Short,Close,91,Right arm Offbreak,Normal,0
11,Test,Hyderabad (Deccan),Offside,Full,Mid-On,89,Right arm Offbreak,Normal,0
12,Test,Hyderabad (Deccan),Off Stump,Good,Square Leg,88,Right arm Offbreak,Normal,0
13,Test,Hyderabad (Deccan),Offside,Short,Wicketkeeper,143,Right-arm fast,Normal,0
14,Test,Hyderabad (Deccan),Offside,Full,Mid-On,146,Right-arm fast,Normal,0
15,Test,Hyderabad (Deccan),Offside,Short,Wicketkeeper,148,Right-arm fast,Normal,0
16,Test,Hyderabad (Deccan),Offside,Full,Wicketkeeper,145,Right-arm fast,Normal,0
17,Test,Hyderabad (Deccan),Middle Stump,Short,Long Leg,145,Right-arm fast,High,0
18,Test,Hyderabad (Deccan),Off Stump,Good,Midwicket,75,Right arm Offbreak,Normal,0
19,Test,Hyderabad (Deccan),Middle Stump,Full,Mid-Off,81,Right arm Offbreak,Normal,0
20,Test,Hyderabad (Deccan),Off Stump,Good,Close,83,Right arm Offbreak,Normal,0
21,Test,Hyderabad (Deccan),Middle Stump,Good,Midwicket,90,Right arm Offbreak,Normal,0
22,Test,Hyderabad (Deccan),Middle Stump,Full,Mid-Off,-1,,Normal,0
23,Test,Hyderabad (Deccan),Leg Stump,Good,Long Leg,-1,,Normal,0
24,Test,Hyderabad (Deccan),Offside,Back of a Length,Close,121,Right-arm medium-fast,Normal,0
25,Test,Hyderabad (Deccan),Offside,Back of a Length,Close,119,Right-arm medium-fast,Normal,0
26,Test,Hyderabad (Deccan),Leg Stump,Full,Deep Square Leg,125,Right-arm medium-fast,Normal,0
27,Test,Hyderabad (Deccan),Offside,Good,Wicketkeeper,117,Right-arm medium-fast,Normal,0
28,Test,Hyderabad (Deccan),Middle Stump,Good,Mid-Off,125,Right-arm medium-fast,Normal,0
29,Test,Hyderabad (Deccan),Wide Outside Off,Short,Close,118,Right-arm medium-fast,Normal,0
30,Test,Hyderabad (Deccan),Legside,Full,Close,-1,,Normal,0
31,Test,Hyderabad (Deccan),Legside,Full,Midwicket,-1,,Normal,0
32,Test,Hyderabad (Deccan),Legside,Short,Legside,-1,,Normal,0
33,Test,Hyderabad (Deccan),Wide Outside Off,Back of a Length,Deep Point,119,Right-arm medium-fast,Normal,0
34,Test,Hyderabad (Deccan),Legside,Good,Legside,125,Right-arm medium-fast,Normal,0
35,Test,Hyderabad (Deccan),Off Stump,Short,Offside,-1,,Normal,0
36,Test,Hyderabad (Deccan),Legside,Full,Point,-1,,Normal,0
37,Test,Hyderabad (Deccan),Leg Stump,Good,Fine Leg,-1,,Normal,0
38,Test,Hyderabad (Deccan),Offside,Full,Close,113,Right-arm medium-fast,Normal,0
